Date,APPLE Adj Close, Return (%)
26/2/2010,204.62,1.297029703
1/3/2010,208.99,2.135666113
2/3/2010,208.85,-0.066988851
3/3/2010,209.33,0.229830022
4/3/2010,210.71,0.659246166
5/3/2010,218.95,3.910588012
8/3/2010,219.08,0.059374286
9/3/2010,223.02,1.798429797
10/3/2010,224.84,0.816070308
11/3/2010,225.5,0.293542074
12/3/2010,226.6,0.487804878
15/3/2010,223.84,-1.218005296
16/3/2010,224.45,0.272516083
17/3/2010,224.12,-0.147026064
18/3/2010,224.65,0.236480457
19/3/2010,222.25,-1.068328511
22/3/2010,224.75,1.124859393
23/3/2010,228.36,1.606229143
24/3/2010,229.37,0.442284113
25/3/2010,226.65,-1.185856912
26/3/2010,230.9,1.875137878
29/3/2010,232.39,0.645300996
30/3/2010,235.85,1.488876458
31/3/2010,235,-0.360398558
1/4/2010,235.97,0.412765957
5/4/2010,238.49,1.067932364
6/4/2010,239.54,0.440270032
7/4/2010,240.6,0.44251482
8/4/2010,239.95,-0.270157938
9/4/2010,241.79,0.766826422
12/4/2010,242.29,0.206791017
13/4/2010,242.43,0.057781997
14/4/2010,245.69,1.344718063
15/4/2010,248.92,1.314664822
16/4/2010,247.4,-0.610637956
19/4/2010,247.07,-0.133387227
20/4/2010,244.59,-1.003764115
21/4/2010,259.22,5.981438325
22/4/2010,266.47,2.796852095
23/4/2010,270.83,1.636206702
26/4/2010,269.5,-0.491082967
27/4/2010,262.04,-2.768089054
28/4/2010,261.6,-0.167913296
29/4/2010,268.64,2.691131498
30/4/2010,261.09,-2.81045265
3/5/2010,266.35,2.01463097
4/5/2010,258.68,-2.879669608
5/5/2010,255.99,-1.039894851
6/5/2010,246.25,-3.804836126
7/5/2010,235.86,-4.21928934
10/5/2010,253.99,7.686763334
11/5/2010,256.52,0.996102209
12/5/2010,262.09,2.171370653
13/5/2010,258.36,-1.423175245
14/5/2010,253.82,-1.757237963
17/5/2010,254.22,0.157591994
18/5/2010,252.36,-0.731649752
19/5/2010,248.34,-1.592962435
20/5/2010,237.76,-4.260288314
21/5/2010,242.32,1.917900404
24/5/2010,246.76,1.832287884
25/5/2010,245.22,-0.624088183
26/5/2010,244.11,-0.452654759
27/5/2010,253.35,3.785178813
28/5/2010,256.88,1.393329386
1/6/2010,260.83,1.537682965
2/6/2010,263.95,1.196181421
3/6/2010,263.12,-0.314453495
4/6/2010,255.96,-2.721191852
7/6/2010,250.94,-1.961243944
8/6/2010,249.33,-0.641587631
9/6/2010,243.2,-2.458589019
10/6/2010,250.51,3.005756579
11/6/2010,253.51,1.197556984
14/6/2010,254.28,0.303735553
15/6/2010,259.69,2.127575901
16/6/2010,267.25,2.91116331
17/6/2010,271.87,1.728718428
18/6/2010,274.07,0.809210284
21/6/2010,270.17,-1.422994126
22/6/2010,273.85,1.362105341
23/6/2010,270.97,-1.051670623
24/6/2010,269,-0.727017751
25/6/2010,266.7,-0.855018587
28/6/2010,268.3,0.599925009
29/6/2010,256.17,-4.521058517
30/6/2010,251.53,-1.811297185
1/7/2010,248.48,-1.212579016
2/7/2010,246.94,-0.619768191
6/7/2010,248.63,0.684376772
7/7/2010,258.67,4.038128947
8/7/2010,258.09,-0.224223915
9/7/2010,259.62,0.592816459
12/7/2010,257.29,-0.897465527
13/7/2010,251.8,-2.133779004
14/7/2010,252.73,0.369340747
15/7/2010,251.45,-0.506469355
16/7/2010,249.9,-0.616424737
19/7/2010,245.58,-1.728691477
20/7/2010,251.89,2.569427478
21/7/2010,254.24,0.932946921
22/7/2010,259.02,1.880113279
23/7/2010,259.94,0.355184928
26/7/2010,259.28,-0.253904747
27/7/2010,264.08,1.851280469
28/7/2010,260.96,-1.181460164
29/7/2010,258.11,-1.092121398
30/7/2010,257.25,-0.333191275
2/8/2010,261.85,1.788143829
3/8/2010,261.93,0.030551843
4/8/2010,262.98,0.400870462
5/8/2010,261.7,-0.486729029
6/8/2010,260.09,-0.615208254
9/8/2010,261.75,0.638240609
10/8/2010,259.41,-0.893982808
11/8/2010,250.19,-3.55421919
12/8/2010,251.79,0.639513969
13/8/2010,249.1,-1.06835061
16/8/2010,247.64,-0.586109996
17/8/2010,251.97,1.748505896
18/8/2010,253.07,0.436559908
19/8/2010,249.88,-1.260520805
20/8/2010,249.64,-0.096046102
23/8/2010,245.8,-1.53821503
24/8/2010,239.93,-2.388120423
25/8/2010,242.89,1.233693161
26/8/2010,240.28,-1.074560501
27/8/2010,241.62,0.557682704
30/8/2010,242.5,0.364208261
31/8/2010,243.1,0.24742268
1/9/2010,250.33,2.974084739
2/9/2010,252.17,0.735029761
3/9/2010,258.77,2.617281992
7/9/2010,257.81,-0.370985818
8/9/2010,262.92,1.982079826
9/9/2010,263.07,0.057051575
10/9/2010,263.41,0.129243167
13/9/2010,267.04,1.3780798
14/9/2010,268.06,0.381965249
15/9/2010,270.22,0.805789749
16/9/2010,276.57,2.349937088
17/9/2010,275.37,-0.433886539
20/9/2010,283.23,2.854341432
21/9/2010,283.77,0.190657769
22/9/2010,287.75,1.402544314
23/9/2010,288.92,0.406602954
24/9/2010,292.32,1.176796345
27/9/2010,291.16,-0.396825397
28/9/2010,286.86,-1.476851216
29/9/2010,287.37,0.177787074
30/9/2010,283.75,-1.259700038
1/10/2010,282.52,-0.433480176
4/10/2010,278.64,-1.373354099
5/10/2010,288.94,3.696525983
6/10/2010,289.19,0.086523154
7/10/2010,289.22,0.010373803
8/10/2010,294.07,1.676924141
11/10/2010,295.36,0.438671065
12/10/2010,298.54,1.076652221
13/10/2010,300.14,0.535941582
14/10/2010,302.31,0.722995935
15/10/2010,314.74,4.111673448
18/10/2010,318,1.035775561
19/10/2010,309.49,-2.676100629
20/10/2010,310.53,0.336036706
21/10/2010,309.52,-0.325250378
22/10/2010,307.47,-0.662315844
25/10/2010,308.84,0.445571926
26/10/2010,308.05,-0.255795881
27/10/2010,307.83,-0.071416978
28/10/2010,305.24,-0.841373485
29/10/2010,300.98,-1.395623116
1/11/2010,304.18,1.063193568
2/11/2010,309.36,1.702939049
3/11/2010,312.8,1.111973106
4/11/2010,318.27,1.748721228
5/11/2010,317.13,-0.358186445
8/11/2010,318.62,0.469838867
9/11/2010,316.08,-0.797187873
10/11/2010,318.03,0.616932422
11/11/2010,316.65,-0.433921328
12/11/2010,308.03,-2.722248539
15/11/2010,307.04,-0.321397267
16/11/2010,301.59,-1.775013028
17/11/2010,300.5,-0.361417819
18/11/2010,308.43,2.638935108
19/11/2010,306.73,-0.551178549
22/11/2010,313.36,2.161510123
23/11/2010,308.73,-1.477533827
24/11/2010,314.8,1.966119263
26/11/2010,315,0.063532402
29/11/2010,316.87,0.593650794
30/11/2010,311.15,-1.805156689
1/12/2010,316.4,1.687289089
2/12/2010,318.15,0.553097345
3/12/2010,317.44,-0.223165174
6/12/2010,320.15,0.853704637
7/12/2010,318.21,-0.605965953
8/12/2010,321.01,0.879922064
9/12/2010,319.76,-0.389395969
10/12/2010,320.56,0.250187641
13/12/2010,321.67,0.346269029
14/12/2010,320.29,-0.429011098
15/12/2010,320.36,0.021855194
16/12/2010,321.25,0.277812461
17/12/2010,320.61,-0.19922179
20/12/2010,322.21,0.499048688
21/12/2010,324.2,0.617609633
22/12/2010,325.16,0.29611351
23/12/2010,323.6,-0.479763809
27/12/2010,324.68,0.333745365
28/12/2010,325.47,0.243316496
29/12/2010,325.29,-0.055304636
30/12/2010,323.66,-0.501091334
31/12/2010,322.56,-0.339862819
3/1/2011,329.57,2.173239087
4/1/2011,331.29,0.521892163
5/1/2011,334,0.818014428
6/1/2011,333.73,-0.080838323
7/1/2011,336.12,0.716147784
10/1/2011,342.45,1.88325598
11/1/2011,341.64,-0.23653088
12/1/2011,344.42,0.813722047
13/1/2011,345.68,0.365832414
14/1/2011,348.48,0.809997686
18/1/2011,340.65,-2.246900826
19/1/2011,338.84,-0.53133715
20/1/2011,332.68,-1.817967182
21/1/2011,326.72,-1.791511362
24/1/2011,337.45,3.284157689
25/1/2011,341.4,1.170543784
26/1/2011,343.85,0.717633275
27/1/2011,343.21,-0.186127672
28/1/2011,336.1,-2.07161796
31/1/2011,339.32,0.9580482
1/2/2011,345.03,1.682777319
2/2/2011,344.32,-0.205779208
3/2/2011,343.44,-0.255576208
4/2/2011,346.5,0.890985325
7/2/2011,351.88,1.552669553
8/2/2011,355.2,0.943503467
9/2/2011,358.16,0.833333333
10/2/2011,354.54,-1.010721465
11/2/2011,356.85,0.651548485
14/2/2011,359.18,0.652935407
15/2/2011,359.9,0.200456596
16/2/2011,363.13,0.89747152
17/2/2011,358.3,-1.330102167
18/2/2011,350.56,-2.160200949
22/2/2011,338.61,-3.408831584
23/2/2011,342.62,1.184253271
24/2/2011,342.88,0.075885821
25/2/2011,348.16,1.53989734
28/2/2011,353.21,1.450482537
1/3/2011,349.31,-1.104158999
2/3/2011,352.12,0.804443045
3/3/2011,359.56,2.112916051
4/3/2011,360,0.122371788
7/3/2011,355.36,-1.288888889
8/3/2011,355.76,0.112561909
9/3/2011,352.47,-0.924780751
10/3/2011,346.67,-1.645530116
11/3/2011,351.99,1.534600629
14/3/2011,353.56,0.446035399
15/3/2011,345.43,-2.299468266
16/3/2011,330.01,-4.46400139
17/3/2011,334.64,1.402987788
18/3/2011,330.67,-1.18634951
21/3/2011,339.3,2.609852723
22/3/2011,341.2,0.559976422
23/3/2011,339.19,-0.589097304
24/3/2011,344.97,1.704059672
25/3/2011,351.54,1.904513436
28/3/2011,350.44,-0.312908915
29/3/2011,350.96,0.148384888
30/3/2011,348.63,-0.663893321
31/3/2011,348.51,-0.034420446
1/4/2011,344.56,-1.133396459
4/4/2011,341.19,-0.978058974
5/4/2011,338.89,-0.674111199
6/4/2011,338.04,-0.25081885
7/4/2011,338.08,0.011832919
8/4/2011,335.06,-0.893279697
11/4/2011,330.8,-1.271414075
12/4/2011,332.4,0.483675937
13/4/2011,336.13,1.122141998
14/4/2011,332.42,-1.103739625
15/4/2011,327.46,-1.492088322
18/4/2011,331.85,1.340621755
19/4/2011,337.86,1.811059214
20/4/2011,342.41,1.346711656
21/4/2011,350.7,2.421074151
25/4/2011,353.01,0.658682635
26/4/2011,350.42,-0.733690264
27/4/2011,350.15,-0.077050397
28/4/2011,346.75,-0.971012423
29/4/2011,350.13,0.974765681
2/5/2011,346.28,-1.09959158
3/5/2011,348.2,0.554464595
4/5/2011,349.57,0.393452039
5/5/2011,346.75,-0.806705381
6/5/2011,346.66,-0.025955299
9/5/2011,347.6,0.271159061
10/5/2011,349.45,0.532220944
11/5/2011,347.23,-0.635284018
12/5/2011,346.57,-0.190075742
13/5/2011,340.5,-1.751449924
16/5/2011,333.3,-2.114537445
17/5/2011,336.14,0.852085209
18/5/2011,339.87,1.109656691
19/5/2011,340.53,0.194191897
20/5/2011,335.22,-1.559333979
23/5/2011,334.4,-0.244615476
24/5/2011,332.19,-0.660885167
25/5/2011,336.78,1.381739366
26/5/2011,335,-0.528534949
27/5/2011,337.41,0.719402985
31/5/2011,347.83,3.088230936
1/6/2011,345.51,-0.666992496
2/6/2011,346.1,0.170762062
3/6/2011,343.44,-0.768563999
6/6/2011,338.04,-1.572327044
7/6/2011,332.04,-1.774937877
8/6/2011,332.24,0.060233707
9/6/2011,331.49,-0.225740429
10/6/2011,325.9,-1.686325379
13/6/2011,326.6,0.214789813
14/6/2011,332.44,1.788120024
15/6/2011,326.75,-1.711587053
16/6/2011,325.16,-0.486610559
17/6/2011,320.26,-1.506950424
20/6/2011,315.32,-1.542496721
21/6/2011,325.3,3.165038691
22/6/2011,322.61,-0.826928989
23/6/2011,331.23,2.671956852
24/6/2011,326.35,-1.473296501
27/6/2011,332.04,1.743526888
28/6/2011,335.26,0.969762679
29/6/2011,334.04,-0.363896677
30/6/2011,335.67,0.487965513
1/7/2011,343.26,2.261149343
5/7/2011,349.43,1.797471305
6/7/2011,351.76,0.666800217
7/7/2011,357.2,1.546508983
8/7/2011,359.71,0.70268757
11/7/2011,354,-1.587389842
12/7/2011,353.75,-0.070621469
13/7/2011,358.02,1.207067138
14/7/2011,357.77,-0.069828501
15/7/2011,364.92,1.99849065
18/7/2011,373.8,2.433410062
19/7/2011,376.85,0.815944355
20/7/2011,386.9,2.666843572
21/7/2011,387.29,0.100801241
22/7/2011,393.3,1.551808722
25/7/2011,398.5,1.322145945
26/7/2011,403.41,1.232120452
27/7/2011,392.59,-2.682134801
28/7/2011,391.82,-0.196133371
29/7/2011,390.48,-0.341993773
1/8/2011,396.75,1.605716042
2/8/2011,388.91,-1.976055451
3/8/2011,392.57,0.941091769
4/8/2011,377.37,-3.871920931
5/8/2011,373.62,-0.993719692
8/8/2011,353.21,-5.462769659
9/8/2011,374.01,5.888847994
10/8/2011,363.69,-2.759284511
11/8/2011,373.7,2.752344029
12/8/2011,376.99,0.880385336
15/8/2011,383.41,1.702962943
16/8/2011,380.48,-0.764194987
17/8/2011,380.44,-0.010513036
18/8/2011,366.05,-3.782462412
19/8/2011,356.03,-2.737330966
22/8/2011,356.44,0.115158835
23/8/2011,373.6,4.814274492
24/8/2011,376.18,0.690578158
25/8/2011,373.72,-0.653942262
26/8/2011,383.58,2.638338863
29/8/2011,389.97,1.665884561
30/8/2011,389.99,0.0051286
31/8/2011,384.83,-1.323110849
1/9/2011,381.03,-0.987449003
2/9/2011,374.05,-1.831876755
6/9/2011,379.74,1.521187007
7/9/2011,383.93,1.103386528
8/9/2011,384.14,0.054697471
9/9/2011,377.48,-1.733742906
12/9/2011,379.94,0.651690156
13/9/2011,384.62,1.231773438
14/9/2011,389.3,1.216785399
15/9/2011,392.96,0.940148985
16/9/2011,400.5,1.918770358
19/9/2011,411.63,2.779026217
20/9/2011,413.45,0.442144644
21/9/2011,412.14,-0.316846052
22/9/2011,401.82,-2.504003494
23/9/2011,404.3,0.617191777
26/9/2011,403.17,-0.279495424
27/9/2011,399.26,-0.969814222
28/9/2011,397.01,-0.563542554
29/9/2011,390.57,-1.622125387
30/9/2011,381.32,-2.368333461
3/10/2011,374.6,-1.762299381
4/10/2011,372.5,-0.560597971
5/10/2011,378.25,1.543624161
6/10/2011,377.37,-0.232650364
7/10/2011,369.8,-2.005988817
10/10/2011,388.81,5.140616549
11/10/2011,400.29,2.952598956
12/10/2011,402.19,0.474655874
